word,meaning,example,example_meaning
abandon,버리다,The man decided to _________ his car in the flood.,그 남자는 홍수 속에서 자신의 차를 버리기로 결정했다.
absorb,흡수하다,Plants _________ sunlight for photosynthesis.,식물은 광합성을 위해 햇빛을 흡수한다.
access,"접근, 이용",Only authorized personnel have _________ to the building.,허가된 사람들만 이 건물에 접근할 수 있다.
accurate,정확한,The weather forecast was surprisingly _________ today.,오늘의 일기예보는 놀라울 정도로 정확했다.
adjust,"조정하다, 맞추다",He _________ the seat to make it more comfortable.,그는 좌석을 더 편하게 조정했다.
affect,영향을 미치다,The new law will _________ thousands of people.,새로운 법이 수천 명의 사람들에게 영향을 미칠 것이다.
allow,허락하다,The teacher didn't _________ us to use calculators during the exam.,선생님은 시험 중에 계산기를 사용하는 것을 허락하지 않았다.
analyze,분석하다,Scientists need time to _________ the data from the experiment.,과학자들은 실험 데이터 분석에 시간이 필요하다.
anticipate,예상하다,We _________ that sales will increase next quarter.,우리는 다음 분기에 매출이 증가할 것으로 예상한다.
approach,"접근하다, 다가가다",The company decided to take a new _________ to marketing.,그 회사는 마케팅에 새로운 접근 방식을 취하기로 결정했다.
assume,"추정하다, 가정하다",She _________ he was telling the truth.,그녀는 그가 진실을 말하고 있다고 추정했다.
available,"이용할 수 있는, 접근 가능한",This book is _________ at the local library.,이 책은 지역 도서관에서 이용할 수 있다.
benefit,"혜택, 이익",Regular exercise has many health _________.,규칙적인 운동은 많은 건강상의 이점을 제공한다.
calculate,계산하다,We need to _________ the total cost of the project.,우리는 프로젝트의 총 비용을 계산할 필요가 있다.
challenge,"도전, 난관",The project presented a major _________ to the team.,그 프로젝트는 팀에게 큰 도전 과제가 되었다.
clarify,명확히 하다,Could you _________ what you mean by that statement?,그 발언이 무슨 뜻인지 명확히 해주시겠어요?
compete,경쟁하다,They _________ against some of the best teams in the country.,그들은 나라에서 가장 뛰어난 팀들과 경쟁했다.
complex,복잡한,The problem is more _________ than we initially thought.,그 문제는 우리가 처음 생각했던 것보다 더 복잡하다.
conclude,결론을 내리다,"After a long discussion, they _________ that the project was feasible.","긴 논의 끝에, 그들은 그 프로젝트가 실행 가능하다고 결론 내렸다."
confirm,확인하다,Can you _________ the date of the meeting?,회의 날짜를 확인해줄 수 있나요?
consequence,"결과, 영향",His actions had serious _________ for the company.,그의 행동은 회사에 심각한 결과를 초래했다.
consume,소비하다,Americans _________ a large amount of fast food every year.,미국인들은 매년 많은 양의 패스트푸드를 소비한다.
create,"창조하다, 만들다",The artist _________ a masterpiece in just a few weeks.,그 예술가는 몇 주 만에 걸작을 창조했다.
debate,토론하다,They had a heated _________ about the new policy.,그들은 새로운 정책에 대해 열띤 토론을 벌였다.
decline,"감소하다, 거절하다",The company's profits have been in _________ for several years.,그 회사의 수익은 몇 년째 감소하고 있다.
demonstrate,"증명하다, 시연하다",The teacher _________ how to solve the problem.,선생님은 문제를 푸는 방법을 시연했다.
design,"설계하다, 디자인하다",The engineers _________ a new energy-efficient building.,엔지니어들은 에너지 효율적인 새 건물을 설계했다.
determine,"결정하다, 알아내다",The test will _________ whether you are qualified for the job.,그 시험이 당신이 그 직업에 적합한지 여부를 결정할 것이다.
develop,"개발하다, 발전시키다",The company plans to _________ new software.,그 회사는 새로운 소프트웨어를 개발할 계획이다.
distinguish,구별하다,It's important to _________ fact from opinion.,사실과 의견을 구별하는 것이 중요하다.
diverse,다양한,The city is known for its _________ culture and population.,그 도시는 다양한 문화와 인구로 유명하다.
efficient,효율적인,The new system is far more _________ than the old one.,새로운 시스템은 이전 것보다 훨씬 더 효율적이다.
emerge,나타나다,A new leader _________ from the group.,그 그룹에서 새로운 리더가 나타났다.
emphasize,강조하다,The speaker _________ the importance of education.,연설자는 교육의 중요성을 강조했다.
enable,가능하게 하다,The new software will _________ users to work more efficiently.,새로운 소프트웨어는 사용자가 더 효율적으로 일할 수 있게 해줄 것이다.
encounter,맞닥뜨리다,She _________ many challenges during her travels.,그녀는 여행 중에 많은 도전에 맞닥뜨렸다.
engage,"참여하다, 관여하다",The presentation was designed to _________ the audience.,그 발표는 청중을 참여시키기 위해 설계되었다.
enhance,향상시키다,The new features will _________ the user experience.,새로운 기능들이 사용자 경험을 향상시킬 것이다.
establish,"설립하다, 세우다",The company was _________ in 1990.,그 회사는 1990년에 설립되었다.
estimate,추정하다,Can you _________ how long the project will take?,그 프로젝트가 얼마나 걸릴지 추정할 수 있나요?
evaluate,평가하다,The teacher will _________ the students' performance.,선생님은 학생들의 수행 능력을 평가할 것이다.
evolve,"진화하다, 발전하다","Over time, the company has _________ into a global brand.","시간이 지나면서, 그 회사는 글로벌 브랜드로 발전했다."
expand,확장하다,The company plans to _________ its operations next year.,그 회사는 내년에 사업을 확장할 계획이다.
expect,예상하다,We _________ the weather to improve by tomorrow.,우리는 내일까지 날씨가 나아질 것으로 예상한다.
explain,설명하다,He _________ the theory in simple terms.,그는 그 이론을 간단한 용어로 설명했다.
express,표현하다,He _________ his feelings openly.,그는 자신의 감정을 솔직하게 표현했다.
extend,연장하다,They _________ the deadline for the project.,그들은 프로젝트의 마감 기한을 연장했다.
facilitate,촉진하다,The new software will _________ communication between departments.,새로운 소프트웨어는 부서 간의 의사소통을 촉진할 것이다.
